StudentCode,MCRCourseCode,UCASCourseCode,AcademicYear,ProgrammeOfStudy,Route,FeeStatusCode,FeeStatus,DateCreated,CycleOfApplication
202104468,UGNURAXFU01,B740,2021/22,BSc,Nursing (Adult),H,Home,13/11/2020,2021
202104469,UGPHAPXFU01,F3F5,2021/22,BSc,Physics with Astrophysics,H,Home,13/11/2020,2021
202104470,UGACFMXFU01,NN43,2021/22,BSc,Accounting and Financial Management,H,Home,13/11/2020,2021
202104471,UGMIDWXFU01,B720,2021/22,BSc,Midwifery,H,Home,13/11/2020,2021
202104472,UGBPLSPFU01,L230,2021/22,BA,British Politics and Legislative Studies,H,Home,13/11/2020,2021
202104473,UGINREXFU01,L290,2021/22,BA,Politics and International Relations,H,Home,13/11/2020,2021
202104474,UGSAESXFU01,C610,2021/22,BSc,Sport and Exercise Science,H,Home,13/11/2020,2021
202104475,UGCHEMXFU01,F100,2021/22,BSc,Chemistry,H,Home,13/11/2020,2021
202104476,UGBIOMXFU01,BC99,2021/22,BSc,Biomedical Science,H,Home,13/11/2020,2021
202104477,UGCSGDPFU01,G493,2021/22,BSc,Computer Science for Games Development,H,Home,13/11/2020,2021
202104478,UGCOMSMFU01,G402,2021/22,MEng,Computer Science,H,Home,13/11/2020,2021
202104479,UGLAPOAFU01,M1L3,2021/22,LLB,Law with Politics,H,Home,13/11/2020,2021
202104480,UGGADEXFU01,W291,2021/22,BA,Game Design,H,Home,13/11/2020,2021
202104481,UGMESTXFU01,P306,2021/22,BA,Media Studies,H,Home,13/11/2020,2021
202104482,UGCOMSXFU01,G400,2021/22,BSc,Computer Science,H,Home,13/11/2020,2021
202104483,UGSOCWXFU01,L500,2021/22,BA,Social Work,H,Home,13/11/2020,2021
202104484,UGHISTXFU01,V100,2021/22,BA,History,H,Home,13/11/2020,2021
202104485,UGPSYCXFU01,C800,2021/22,BSc,Psychology,H,Home,13/11/2020,2021
202104486,UGMKTGPFU01,N502,2021/22,BA,Marketing,H,Home,13/11/2020,2021
202104487,UGBMSCPFU01,NJD9,2021/22,BA,Business Management and Supply Chain Management,Q,Query,13/11/2020,2021
202104508,UGMIDWXFU01,B720,2021/22,BSc,Midwifery,H,Home,14/11/2020,2021
202104509,UGLAWXXFU01,M100,2021/22,LLB,Law,H,Home,14/11/2020,2021
202104510,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,H,Home,14/11/2020,2021
202104511,UGPSYCXFU01,C800,2021/22,BSc,Psychology,H,Home,14/11/2020,2021
202104512,UGLAWXXFU01,M100,2021/22,LLB,Law,O,Overseas,14/11/2020,2021
202104513,UGNURAXFU01,B740,2021/22,BSc,Nursing (Adult),H,Home,14/11/2020,2021
202104514,UGODPRXFU01,B990,2021/22,BSc,Operating Department Practice,Q,Query,14/11/2020,2021
202104515,UGMECEMFU01,H301,2021/22,MEng,Mechanical Engineering,H,Home,14/11/2020,2021
202104516,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,H,Home,14/11/2020,2021
202104517,UGPRITXFU01,X120,2021/22,BA,Primary Teaching,Q,Query,14/11/2020,2021
202104519,UGNURCXFU01,B730,2021/22,BSc,Nursing (Child),H,Home,14/11/2020,2021
202104521,UGZOOLXFU01,C300,2021/22,BSc,Zoology,H,Home,14/11/2020,2021
202104522,UGPRITXFU01,X120,2021/22,BA,Primary Teaching,H,Home,14/11/2020,2021
202104523,UGPRITXFU01,X120,2021/22,BA,Primary Teaching,H,Home,14/11/2020,2021
202104524,UGBMMKXFU01,NN15,2021/22,BA,Business Management and Marketing,H,Home,14/11/2020,2021
202104524,UGMKTGXFU01,N500,2021/22,BA,Marketing,H,Home,14/11/2020,2021
202104525,UGSPREXFU01,C602,2021/22,BSc,Sport Rehabilitation,H,Home,14/11/2020,2021
202104526,UGMKTGXFU01,N500,2021/22,BA,Marketing,H,Home,14/11/2020,2021
202104527,UGPRITXFU01,X120,2021/22,BA,Primary Teaching,H,Home,14/11/2020,2021
202104528,UGBMACPFU01,NND4,2021/22,BA,Business Management and Accounting,H,Home,14/11/2020,2021
202104529,UGPHYSOXFU01,B160,2021/22,BSc,Physiotherapy,H,Home,14/11/2020,2021
202104530,UGBEC2XFU01,L120,2021/22,BA,Business Economics,H,Home,14/11/2020,2021
202104531,UGNURCXFU01,B730,2021/22,BSc,Nursing (Child),O,Overseas,14/11/2020,2021
202104532,UGAMSTAFU01,T701,2021/22,BA,American Studies,H,Home,14/11/2020,2021
202104533,UGBIOMXFU01,BC99,2021/22,BSc,Biomedical Science,O,Overseas,14/11/2020,2021
202104534,UGENGLXFU01,Q300,2021/22,BA,English,H,Home,14/11/2020,2021
202104535,UGNURAXFU01,B740,2021/22,BSc,Nursing (Adult),H,Home,14/11/2020,2021
202104536,UGCRPSXFU01,M9C8,2021/22,BA,Criminology with Psychology,H,Home,14/11/2020,2021
202104536,UGCRIMXFU01,M930,2021/22,BA,Criminology,H,Home,14/11/2020,2021
202104537,UGFOSCXFU01,F410,2021/22,BSc,Forensic Science,H,Home,14/11/2020,2021
202104538,UGDRMAXFU01,W400,2021/22,BA,Drama and Theatre Practice,H,Home,14/11/2020,2021
202104539,UGPRITXFU01,X120,2021/22,BA,Primary Teaching,H,Home,14/11/2020,2021
202104540,UGPRITXFU01,X120,2021/22,BA,Primary Teaching,H,Home,14/11/2020,2021
202104541,UGMIDWXFU01,B720,2021/22,BSc,Midwifery,H,Home,14/11/2020,2021
202104542,UGSOCWXFU01,L500,2021/22,BA,Social Work,H,Home,14/11/2020,2021
202104543,UGMUPOXFU01,W305,2021/22,BA,Music (Popular Music),H,Home,14/11/2020,2021
202104544,UGLAWXXFU01,M100,2021/22,LLB,Law,H,Home,14/11/2020,2021
202104545,UGLABMXFU01,M1N1,2021/22,LLB,Law with Business Management,H,Home,14/11/2020,2021
202104546,UGTHPHMFU01,F341,2021/22,MPhys,Theoretical Physics,H,Home,14/11/2020,2021
202104547,UGACFMPFU01,NN4J,2021/22,BSc,Accounting and Financial Management,H,Home,14/11/2020,2021
202104548,UGBIOLXFU01,C100,2021/22,BSc,Biology,H,Home,14/11/2020,2021
202104549,UGPARAXFU01,B780,2021/22,BSc,Paramedic Science,H,Home,14/11/2020,2021
202104550,UGCOMSPFU01,G403,2021/22,BSc,Computer Science,H,Home,14/11/2020,2021
202104551,UGPCRIFFU01,C8M8,2021/22,BSc,Psychology with Criminology,Q,Query,14/11/2020,2021
202104552,UGBEC2XFU01,L120,2021/22,BA,Business Economics,H,Home,14/11/2020,2021
202104553,UGLALSPFU01,ML12,2021/22,LLB,Law and Legislative Studies,H,Home,14/11/2020,2021
202104554,UGMEPRXFU01,W374,2021/22,BA,Media Production,H,Home,14/11/2020,2021
202104555,UGESUSXFU01,X300,2021/22,BA,Education Studies,H,Home,14/11/2020,2021
